,Gender,CohortAge,Comorbidity,Age,AllCauseWithAllCancersIncluded,AllCauseExcludingPancCancers
1,Female,66,No,66,0.008306987,0.00802572
2,Female,66,No,67,0.009130773,0.008808856
3,Female,66,No,68,0.009987098,0.009646884
4,Female,66,No,69,0.011391369,0.011026027
5,Female,66,No,70,0.012791172,0.012393763
6,Female,66,No,71,0.015205224,0.014779236
7,Female,66,No,72,0.01696795,0.016511522
8,Female,66,No,73,0.019829352,0.019319244
9,Female,66,No,74,0.023484123,0.022956975
10,Female,66,No,75,0.02716903,0.026620234
11,Female,66,No,76,0.028724493,0.028134602
12,Female,66,No,77,0.032926865,0.032288914
13,Female,66,No,78,0.036209388,0.03556003
14,Female,66,No,79,0.058879707,0.058186325
15,Female,66,No,80,0.064579376,0.063852446
16,Female,66,No,81,0.070977665,0.070207382
17,Female,66,No,82,0.077956121,0.077153528
18,Female,66,No,83,0.085501277,0.084683719
19,Female,66,No,84,0.093927219,0.093071613
20,Female,66,No,85,0.104575061,0.103592163
21,Female,66,No,86,0.114265682,0.113282784
22,Female,66,No,87,0.124940914,0.123958016
23,Female,66,No,88,0.136689213,0.135706315
24,Female,66,No,89,0.149604683,0.148621784
25,Female,66,No,90,0.163783512,0.162800614
26,Female,66,No,91,0.179330789,0.178347891
27,Female,66,No,92,0.196352431,0.195369533
28,Female,66,No,93,0.214963448,0.213980549
29,Female,66,No,94,0.235274731,0.234291832
30,Female,66,No,95,0.257404948,0.25642205
31,Female,66,No,96,0.281470467,0.280487569
32,Female,66,No,97,0.30759112,0.306608222
33,Female,66,No,98,0.335878802,0.334895903
34,Female,66,No,99,0.366446531,0.365463633
35,Female,66,No,100,0.399402744,0.398419845
36,Female,66,Low,66,0.009309176,0.009027909
37,Female,66,Low,67,0.011435227,0.011113311
38,Female,66,Low,68,0.016899895,0.01655968
39,Female,66,Low,69,0.014949993,0.01458465
40,Female,66,Low,70,0.028576706,0.028179297
41,Female,66,Low,71,0.026990971,0.026564983
42,Female,66,Low,72,0.029585422,0.029128994
43,Female,66,Low,73,0.027830591,0.027320482
44,Female,66,Low,74,0.025747164,0.025220015
45,Female,66,Low,75,0.038092711,0.037543915
46,Female,66,Low,76,0.062966661,0.06237677
47,Female,66,Low,77,0.065126594,0.064488643
48,Female,66,Low,78,0.040388928,0.03973957
49,Female,66,Low,79,0.058879707,0.058186325
50,Female,66,Low,80,0.064579376,0.063852446
51,Female,66,Low,81,0.070977665,0.070207382
52,Female,66,Low,82,0.077956121,0.077153528
53,Female,66,Low,83,0.085501277,0.084683719
54,Female,66,Low,84,0.093927219,0.093071613
55,Female,66,Low,85,0.104575061,0.103592163
56,Female,66,Low,86,0.114265682,0.113282784
57,Female,66,Low,87,0.124940914,0.123958016
58,Female,66,Low,88,0.136689213,0.135706315
59,Female,66,Low,89,0.149604683,0.148621784
60,Female,66,Low,90,0.163783512,0.162800614
61,Female,66,Low,91,0.179330789,0.178347891
62,Female,66,Low,92,0.196352431,0.195369533
63,Female,66,Low,93,0.214963448,0.213980549
64,Female,66,Low,94,0.235274731,0.234291832
65,Female,66,Low,95,0.257404948,0.25642205
66,Female,66,Low,96,0.281470467,0.280487569
67,Female,66,Low,97,0.30759112,0.306608222
68,Female,66,Low,98,0.335878802,0.334895903
