x,Curve1
0.102,99.671
1.624,100
3.046,99.342
5.078,98.026
6.907,96.382
8.534,94.079
9.958,91.776
10.978,86.184
12.403,82.895
14.032,78.289
15.66,75
16.882,71.053
18.512,66.118
20.037,63.158
21.665,60.197
23.293,56.25
25.125,52.303
27.056,50.329
29.392,49.013
30.714,46.711
32.442,44.737
35.388,43.092
37.42,41.118
40.062,38.816
41.79,37.171
43.719,36.842
45.953,36.513
47.782,34.539
49.408,33.224
51.44,31.908
52.253,30.921
53.979,30.921
55.706,29.605
58.347,28.618
61.494,28.289
64.642,27.303
68.603,25.987
73.07,25.987
77.03,25.329
79.67,24.671
