x,Curve1
0.1732,100.002
1.3853,100.013
3.0245,96.639
4.2342,95.238
5.2702,93.552
5.956,89.604
6.725,83.679
7.4979,80.014
8.2722,77.197
8.7853,73.529
9.5562,68.734
10.4147,64.505
11.3637,62.536
11.9619,58.022
12.6463,53.226
13.8535,50.413
14.8881,47.88
16.1834,45.915
17.6519,43.952
18.2535,41.415
18.9428,39.444
20.4142,39.175
21.7104,37.775
23.0933,36.376
24.3871,33.563
25.6839,32.445
27.1523,30.482
29.6617,29.658
30.9575,27.975
33.2933,26.867
34.8508,26.317
36.7531,24.922
39.0028,24.096
41.3405,24.118
44.3693,23.299
47.227,23.609
49.7359,22.502
51.8985,21.393
53.6297,21.126
55.7071,20.864
57.5239,20.033
