x,Curve1
0.203,100
2.033,99.67
4.371,97.69
5.794,96.04
6.912,92.739
8.03,88.449
9.454,85.149
10.877,82.838
12.503,79.208
14.028,73.267
15.553,68.977
17.586,63.696
20.229,61.386
22.058,58.416
23.075,54.125
24.905,50.825
26.429,48.185
27.649,44.884
29.377,42.244
30.902,39.604
32.224,37.624
34.257,35.314
36.493,33.333
38.628,32.343
40.966,31.683
42.49,30.363
44.422,28.383
46.252,28.053
48.285,26.403
50.013,24.422
51.842,22.772
53.875,21.452
56.417,21.122
58.348,19.472
60.28,16.832
62.313,15.842
64.346,14.191
66.684,12.871
69.327,12.541
71.766,11.881
74.104,11.221
76.442,10.231
78.475,9.901
79.797,9.241
