x,Curve1
0,100
0.9509,99.148
2.1601,97.447
3.1071,94.336
4.2282,91.788
5.2593,87.263
6.1139,80.762
6.9723,76.521
7.7427,71.432
8.86,66.625
9.9777,62.1
10.75,58.141
11.696,54.465
12.9859,49.374
14.6246,45.694
16.3508,42.578
17.6451,40.03
19.2837,36.35
20.7521,34.366
22.136,33.512
23.9517,32.091
25.7669,30.387
27.407,27.555
29.0501,26.417
30.9524,24.996
33.2876,23.572
34.7584,23
36.7483,22.143
38.3909,20.723
39.8603,19.304
41.5028,17.884
43.0578,15.899
44.875,15.325
46.2588,14.471
48.2487,13.615
50.2381,12.475
52.921,11.898
55.0845,11.323
