Parameters,Base Value,Low Value,High Value,Low ICER,Base ICER,High ICER,Low QALYs,Base QALYs,High QALYs,Low Costs,Base Costs,High Costs,Low Life Years,Base Life Years,High Life Years
Toxicity rate,1,0.5,1.034,49188.39337,49196.08963,54913.67616,1.995460406,2.542462872,2.564304601,200744.9241,205160.6517,205317.339,2.774030347,3.411429331,3.438104852
Resection rate,1,0.5,1.034,52612.01942,49196.08963,49109.45842,2.444840902,2.542462872,2.544846961,206475.7103,205160.6517,205114.1259,3.300890158,3.411429331,3.415340132
Dropout rate,1,0.5,2,38302.00066,49196.08963,72908.23212,2.653252765,2.542462872,2.3373181,188830.1159,205160.6517,234985.4293,3.49536271,3.411429331,3.258422255
R0 rate,1,0.5,1.174,49410.85698,49196.08963,49189.34553,2.521843448,2.542462872,2.544984268,204547.4268,205160.6517,205271.941,3.385870641,3.411429331,3.416067772
Surgical mortality,1,0.5,2,49095.03042,49196.08963,49478.71779,2.555012119,2.542462872,2.51486708,205585.9023,205160.6517,204329.0042,3.429153407,3.411429331,3.376766976
R0 recurrence survival,1,0.5,1.034,49990.81266,49196.08963,49197.37901,2.489681338,2.542462872,2.543208121,204022.9326,205160.6517,205199.7511,3.344827327,3.411429331,3.413718203
R1 recurrence survival,1,0.5,1.034,49384.60679,49196.08963,49217.49843,2.530297864,2.542462872,2.541812276,204915.9113,205160.6517,205169.0626,3.397102243,3.411429331,3.411921702
Progression-free PDAC,1,0.5,1.006,65273.52042,49196.08963,49112.95019,1.848012587,2.542462872,2.548749773,190194.4373,205160.6517,205312.4072,2.519486234,3.411429331,3.420833742
PDAC recurrence,1,0.5,2,39868.39412,49196.08963,64832.9956,3.393375943,2.542462872,1.868083277,221469.3883,205160.6517,190969.6506,4.503491916,3.411429331,2.545927761
PDAC mortality,1,0.5,2,10664.01724,49196.08963,71136.49075,2.738679606,2.542462872,2.439582748,223020.1433,205160.6517,195939.1763,3.689991528,3.411429331,3.267597999
