,Base Value,Low Value,High Value,Low ICER,Base ICER,High ICER,Low QALYs,Base QALYs,High QALYs,Low Costs,Base Costs,High Costs,Low Life Years,Base Life Years,High Life Years
neoadj_to_neoadj,1,0.5,1.034,161363.95896,80559.83225,76768.14002,2.3516249876795925,2.985808902,3.0158891322256025,258217.05103654668,240876.5336,239984.6434847996,3.348143679021687,4.071108187,4.107342857756244
neoadj_to_resect,1,0.5,1.034,91713.12264,80559.83225,80027.36689,2.8723906062279636,2.985808902,2.989075770372379,245687.62872445988,240876.5336,240664.58776227036,3.946555527713782,4.071108187,4.076595173665206
neoadj_to_palliative,1,0.5,2.0,58584.39685,80559.83225,150074.59206,3.1991840095952133,2.985808902,2.609101200633868,220813.16858435338,240876.5336,275773.1673014414,4.266957791443554,4.071108187,3.729535283315534
neoadj_to_2nd_line,1,0.5,2.0,62995.48735,80559.83225,102190.0135,3.1266373049108425,2.985808902,2.7312308628696655,241047.74581184651,240876.5336,240373.19461630544,4.260584679994158,4.071108187,3.734229904054403
neoadj_to_cancer_death,1,0.5,2.0,78773.03172,80559.83225,85317.50571,3.0732514248483462,2.985808902,2.8154437728543416,246329.50624396183,240876.5336,230489.08074589833,4.191654553087414,4.071108187,3.8427265952922984
resect_to_R0,1,0.5,1.174,81800.63838,80559.83225,80496.37543,2.9555949115464033,2.985808902,2.9891354280577884,240028.57339951256,240876.5336,241024.49951677927,4.033930619662935,4.071108187,4.077595537349689
resect_to_R1,1,0.5,2.0,80690.41339,80559.83225,80618.31361,2.981344391766472,2.985808902,2.98876451407465,240793.1585199744,240876.5336,241013.4858842687,4.067452731163643,4.071108187,4.0771126608102914
resect_to_comp_death,1,0.5,2.0,80089.58348,80559.83225,81851.31697,3.0024269103206422,2.985808902,2.9484132031080685,241419.16649569327,240876.5336,239815.3253119973,4.094899131310308,4.071108187,4.024581070507849
R0_to_non_recur,1,0.5,1.034,85735.79311,80559.83225,80354.79248,2.8977899688208373,2.985808902,2.9883177530379585,239012.44971770473,240876.5336,240966.44321256396,3.9600200887797308,4.071108187,4.076466257630842
R0_to_recurrence,1,0.5,2.0,78252.57206,80559.83225,85677.37621,3.029885185594889,2.985808902,2.8992047474838367,241856.77710359838,240876.5336,239055.76034307334,4.129922016778073,4.071108187,3.961863248919352
R1_to_non_recur,1,0.5,1.034,81035.9233,80559.83225,80635.45703,2.970395019573828,2.985808902,2.984815821098684,240579.59065782782,240876.5336,240890.85589660416,4.053412190138894,4.071108187,4.071961711745486
R1_to_recurrence,1,0.5,2.0,80472.79474,80559.83225,81034.22813,2.99143738706305,2.985808902,2.970620389524911,241032.68338575002,240876.5336,240586.48990912118,4.080477052087561,4.071108187,4.053705799960255
palliative_to_palliative,1,0.5,1.048,61564.03406,80559.83225,84698.38818,2.9703640016772974,2.985808902,2.985685795054863,210039.06538891105,240876.5336,244306.2562778379,3.966588243223966,4.071108187,4.082732826134566
palliative_to_cancer_death,1,0.5,2.0,117346.54968,80559.83225,61660.81714,3.0097439691447634,2.985808902,2.97046851452639,298112.36262989097,240876.5336,210272.8083759001,4.265102247677136,4.071108187,3.9673804873801934
2nd_line_to_2nd_line,1,0.5,1.062,64538.42682,80559.83225,83120.10685,2.93519494831442,2.985808902,2.9908045450894454,230246.22181408864,240876.5336,242320.96971219245,4.001969189524807,4.071108187,4.080502725430785
2nd_line_to_cancer_death,1,0.5,2.0,136266.67751,80559.83225,64617.51837,3.0782684857666833,2.985808902,2.935479934478329,261312.3865736548,240876.5336,230308.1020700738,4.204021918591691,4.071108187,4.002371655509709
non_recur_to_non_recur,1,0.5,1.006,142367.97138,80559.83225,80423.96617,2.0692792821251507,2.985808902,2.9932147731585936,221695.7278430046,240876.5336,241058.04530322112,2.895338253572385,4.071108187,4.082739565867616
non_recur_to_recurrence,1,0.5,2.0,66468.70136,80559.83225,135321.06371,3.9549084635219254,2.985808902,2.104408184132697,258793.72572396588,240876.5336,222949.38833931874,5.314250618568174,4.071108187,2.9414293778251146
recurrence_to_recurrence,1,0.5,1.146,80466.98795,80559.83225,80729.2971,2.872852585698066,2.985808902,3.016309906758143,230799.18546189426,240876.5336,243788.16504105396,3.913927440313746,4.071108187,4.116522160070949
recurrence_to_cancer_death,1,0.5,2.0,81014.11506,80559.83225,80468.11595,3.1972385302643453,2.985808902,2.873289173892696,260169.888738679,240876.5336,230838.7152335547,4.372034973947812,4.071108187,3.914544003221002
