Parameters,Base Value,Low Value,High Value,Low ICER,Base ICER,High ICER,Low QALYs,Base QALYs,High QALYs,Low Costs,Base Costs,High Costs,Low Life Years,Base Life Years,High Life Years
Toxicity rate,1,0.5,1.034,76768.14002,80559.83225,161363.959,2.351624988,2.985808902,3.015889132,258217.051,240876.5336,239984.6435,3.348143679,4.071108187,4.107342858
Resection rate,1,0.5,1.034,91713.12264,80559.83225,80027.36689,2.872390606,2.985808902,2.98907577,245687.6287,240876.5336,240664.5878,3.946555528,4.071108187,4.076595174
Dropout rate,1,0.5,2,58584.39685,80559.83225,150074.5921,3.19918401,2.985808902,2.609101201,220813.1686,240876.5336,275773.1673,4.266957791,4.071108187,3.729535283
PDAC mortality,1,0.5,2,78773.03172,80559.83225,85317.50571,3.073251425,2.985808902,2.815443773,246329.5062,240876.5336,230489.0807,4.191654553,4.071108187,3.842726595
R0 rate,1,0.5,1.174,81800.63838,80559.83225,80496.37543,2.955594912,2.985808902,2.989135428,240028.5734,240876.5336,241024.4995,4.03393062,4.071108187,4.077595537
Surgical mortality,1,0.5,2,80089.58348,80559.83225,81851.31697,3.00242691,2.985808902,2.948413203,241419.1665,240876.5336,239815.3253,4.094899131,4.071108187,4.024581071
R0 recurrence survival,1,0.5,1.034,85735.79311,80559.83225,80354.79248,2.897789969,2.985808902,2.988317753,239012.4497,240876.5336,240966.4432,3.960020089,4.071108187,4.076466258
R1 recurrence survival,1,0.5,2,80472.79474,80559.83225,81034.22813,2.991437387,2.985808902,2.97062039,241032.6834,240876.5336,240586.4899,4.080477052,4.071108187,4.0537058
Progression-free PDAC,1,0.5,1.006,142367.9714,80559.83225,80423.96617,2.069279282,2.985808902,2.993214773,221695.7278,240876.5336,241058.0453,2.895338254,4.071108187,4.082739566
PDAC recurrence,1,0.5,2,66468.70136,80559.83225,135321.0637,3.954908464,2.985808902,2.104408184,258793.7257,240876.5336,222949.3883,5.314250619,4.071108187,2.941429378
