,Base Value,Low Value,High Value,Low ICER,Base ICER,High ICER,Low QALYs,Base QALYs,High QALYs,Low Costs,Base Costs,High Costs,Low Life Years,Base Life Years,High Life Years
neoadj_to_neoadj,1,0.5,1.034,0.0,0.0,0.0,0.3844400921726686,0.653914831,0.6722350220475304,112277.87629906887,112251.47300000001,112249.47621731155,0.8112711121954985,1.158458096,1.182060972458122
neoadj_to_resect,1,0.5,1.034,0.0,0.0,0.0,0.6539148310838216,0.653914831,0.6539148310838216,112251.47304268026,112251.47300000001,112251.47304268026,1.158458096390652,1.158458096,1.158458096390652
neoadj_to_palliative,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838216,0.653914831,0.6539148310838216,112251.47304268026,112251.47300000001,112251.47304268026,1.158458096390652,1.158458096,1.158458096390652
neoadj_to_2nd_line,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838216,0.653914831,0.6539148310838216,112251.47304268026,112251.47300000001,112251.47304268026,1.158458096390652,1.158458096,1.158458096390652
neoadj_to_cancer_death,1,0.5,2.0,0.0,0.0,0.0,0.6770948549889722,0.653914831,0.6124467934694484,116666.58090152132,112251.47300000001,104352.90640812188,1.2007497836874523,1.158458096,1.082799761407176
resect_to_R0,1,0.5,1.174,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
resect_to_R1,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
resect_to_comp_death,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
R0_to_non_recur,1,0.5,1.034,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
R0_to_recurrence,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
R1_to_non_recur,1,0.5,1.034,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
R1_to_recurrence,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
palliative_to_palliative,1,0.5,1.048,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
palliative_to_cancer_death,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
2nd_line_to_2nd_line,1,0.5,1.062,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
2nd_line_to_cancer_death,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
non_recur_to_non_recur,1,0.5,1.006,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
non_recur_to_recurrence,1,0.5,2.0,0.0,0.0,0.0,0.6539148310838219,0.653914831,0.6539148310838219,112251.47304268034,112251.47300000001,112251.47304268034,1.1584580963906528,1.158458096,1.1584580963906528
recurrence_to_recurrence,1,0.5,1.146,0.0,0.0,0.0,0.6338611440702644,0.653914831,0.6597700547618515,67401.40203685858,112251.47300000001,125346.68079859331,1.0064440953782379,1.158458096,1.2028427513181037
recurrence_to_cancer_death,1,0.5,2.0,0.0,0.0,0.0,0.6936916625533891,0.653914831,0.6339004335717997,201212.35662436616,112251.47300000001,67489.27300704163,1.4599804695680842,1.158458096,1.0067419236191038
